og_representation,mapping
ए,A
अे,A
अ,A
बी,B
बि,B
सी,C
सि,C
डी,D
डि,D
इ,E
ई,E
एफ,F
ऍफ,F
जी,G
जि,G
एच,H
आई,I
जे,J
के,K
एल,L
एम,M
एन,N
ओ,O
पी,P
क्यू,Q
आर,R
एस,S
टि,T
टी,T
यू,U
यु,U
वी,V
वि,V
व्हि,V
डब्ल्यु,W
डब्ल्यू,W
एक्स,X
वाई,Y
वाइ,Y
ज़ेड,Z
