og_representation,mapping
सदर तृतीय,Sadar Tritiya
एतमादपुर,Etmadpur
महावन,Mahaaban
सदर प्रथम,Sadar Pratham
छाता,Chhata
खैरागढ़,Khairagarh
किरावली,Kiraoli
मांट,Mant
सदर पंचम,Sadar Pancham
बाह,Bah
सदर चतुर्थ,Sadar Chaturth
फतेहाबाद,Fatehabad
सदर द्वितीय,Sadar Dwitiya
