og_representation,mapping,confusion,count
श्री,Shree,,473512
श्रीमती,Shreemati,,250277
सिंह,singh,y,148092
देवी,Devi,,120072
कुमार,Kumar,,115937
द्वारा,Dwara,,63896
के,K,,55494
सिह,singh,,51346
शर्मा,Sharma,,42529
बैंक,Bank,,36970
बैक,Bank,,34584
अग्रवाल,Agraval,,33092
केनरा,Canara,,24937
गुप्ता,Gupta,,24455
आगरा,Agra,,15036
आर्यावर्त,Aaryavart,,14529
जैन,Jain,,13806
उर्फ,",",,13303
सिडिकेट,syndicate,,13131
कुमारी,Kumari,,12979
यादव,Yadav,,12367
ग्रामीण,Gramin,,12090
बेक,Bank,,10870
लाल,Lal,,10832
वर्मा,Varma,,10174
चन्द,Chand,,9603
आम,",",,9407
बेगम,Begam,,9383
प्रसाद,Prasad,,9151
स्टेट,State,,9004
गोयल,Goyal,,8663
लि,Limited,,8581
राम,Ram,,8385
राकेश,Rakesh,,7918
मुकेश,Mukesh,,7870
मु,",",,7850
ऑफ,Of,,7729
बंसल,Bansal,,7565
व,v,,7352
संजय,Sanjay,,7294
प्रबंधक,Prabandhak,,7230
बेंक,Bank,,6958
लि०,limited,y,6947
प्रकाश,Prakash,,6943
राजेश,Rajesh,,6903
मनोज,Manoj,,6900
अनिल,Anil,,6804
सुनीता,Suneeta,,6753
विजय,Vijay,,6629
अशोक,Ashok,,6449
मैसर्स,Maisars,y,6350
राजेन्द्र,Rajendra,,6167
विनोद,Vinod,,6140
खान,Khan,,6054
कैनरा,Canara,y,5939
गर्ग,Garg,,5829
भारतीय,Bharatiya,,5701
दिनेश,Dinesh,,5625
विकास,Vikas,,5588
सुरेश,Suresh,,5531
कमलेश,Kamlesh,,5423
सचिव,Sachiv,,5284
प्रा,Private,,5171
सुनील,Sunil,,5163
अजय,Ajay,,5057
आवास,Aavas,,4943
चन्द्र,Chandra,,4927
राजकुमार,Raj kumar,,4823
ममता,Mamta,,4769
मीना,Meena,,4728
महेश,Mahesh,,4569
गीता,Geeta,,4554
मोहन,Mohan,,4383
सहकारी,Sahkari,,4353
आफ,Of,y,4310
समिति,Samiti,,4262
मुन्नी,Munni,,4234
प्रमोद,Pramod,,4228
अमित,Amit,,4222
जितेन्द्र,Jitendra,,4221
मौहम्मद,Mauhammad,,4179
भगवान,Bhagvan,,4171
बाबू,Babu,,4150
पार्टनर,Partner,,4148
सीबी,Seebi,,4146
प्रा०,Private,y,4133
सीमा,Seema,,4097
वी,V,,4083
रानी,Rani,,4033
अनीता,Anita,,4007
रेखा,Rekha,,4007
रमेश,Ramesh,,3994
सुमन,Suman,,3981
जगदीश,Jagdish,,3964
देवेन्द्र,Devendra,,3942
बी,B,y,3922
मित्तल,Mittal,,3918
लक्ष्मी,Lakshmi,,3871
चौहान,Chauhan,,3861
मंजू,Manju,,3807
वीरेन्द्र,Virendra,,3790
पी,P,,3688
मीरा,Meera,,3670
प्रताप,Pratap,,3648
अली,Ali,,3593
राजीव,Rajeev,,3577
सरोज,Saroj,,3546
ओमप्रकाश,Om prakash,,3528
महेन्द्र,Mahendra,,3518
पाल,Pal,,3517
राजवीर,Rajveer,,3451
शिव,Shiv,,3398
प्रेम,Prem,,3394
एल,L,,3342
रावत,Ravat,,3338
रामवीर,Ramveer,,3302
नीरज,Neeraj,,3282
पवन,Pavan,,3258
दीपक,Deepak,,3233
वहे,Vahe,,3211
चौधरी,Chaudhari,,3204
नरेन्द्र,Narendra,,3198
किशन,Kishan,,3166
मुख्तार,Mukhtar,,3166
ओ,O,,3159
आशा,Aasha,,3149
मनीष,Manish,,3144
इण्डिया,India,,3141
पुष्पा,Pushpa,,3130
उपाध्याय,Upadhyay,,3113
सतीश,Satish,,3108
आधार,Aadhar,,3099
मो,Mo,,3079
राधा,Radha,,3069
किशोर,Kishor,,3066
कुशवाह,Kushvah,,3021
डवलपर्स,Developers,,3019
राजकुमारी,Ram kumari,,3015
गौतम,Gautam,,3012
सिंघल,Singhal,,3009
ऊषा,Usha,,3002
लिमिटेड,Limited,,2991
राठौर,Rathaur,y,2975
गोपाल,Gopal,,2975
राहुल,Rahul,,2974
चाहर,Chahar,,2952
श्रीवास्तव,Shrivastav,,2945
प्रदीप,Pradip,,2940
धर्मेन्द्र,Dharmedra,,2902
सुरेन्द्र,Surendra,,2888
पूरन,Pooran,,2871
स्टैट,State,,2864
डी,D,,2845
खां,,y,2837
गुडडी,Guddi,,2807
पूनम,Poonam,,2800
मिथलेश,Mithlesh,,2789
अहमद,Ahmad,,2779
योगेश,Yogesh,,2773
शीला,Sheela,,2757
चंद,Chand,,2748
रवि,Ravi,,2744
गुप्‍ता,Gupta,,2710
पंकज,Pankaj,,2708
भूरी,Bhuri,,2705
विमला,Vimla,,2686
उमेश,Umesh,,2673
महावीर,Mahaveer,,2667
जीबीए,JBA,,2664
रजनी,Rajni,,2648
उर्मिला,Urmila,,2645
नरेश,Naresh,,2618
माया,Maya,,2616
मिश्रा,Mishra,,2591
तिवारी,Tiwari,,2541
पप्पू,Pappu,,2480
ओमवती,Omvati,,2474
आई,I,,2471
राज,Raj,,2458
राजू,Raju,,2453
उम्र,Umra,,2433
सी,C,,2410
अमर,Amar,,2409
संजीव,Sanjeev,,2405
इन्फ्रा,Infra,y,2397
श्याम,Shyam,,2387
हरी,Hari,,2383
नीलम,Neelam,,2352
यूको,Uco,,2351
उ,U,,2330
रामवती,Ramvati,,2324
शकुन्तला,Shakuntala,,2321
कमल,Kamal,,2304
प्रेमवती,Premvati,,2304
गुड्डी,Guddi,,2300
जारूआ,Jaruaa,y,2299
लाखन,Lakhan,,2291
विमलेश,Vimlesh,,2274
कटरा,Katra,,2265
त्यागी,Tyagi,,2259
शंकर,Shankar,,2257
प्रा०लि०,Private Limited,y,2247
कृष्ण,Krishna,,2212
कमला,Kamla,,2181
प्रतिनिधि,Pratinidhi,,2167
हाउसिंग,Housing,,2149
दिलीप,Dilip,,2143
प्रस्तुतकर्ता,Prastutkarta,,2143
यूनियन,Union,,2075
रेनू,Renu,,2066
सुभाष,Subhash,,2062
शशी,Shashi,,2042
बघेल,Baghel,,2031
ओम,Om,,1997
नैशनल,National,,1996
प्र,Pra,,1995
संगीता,Sangita,,1980
दीक्षित,Dikshit,,1976
गौरव,Gaurav,,1961
मान,Maan,,1945
आशीष,Aashish,y,1934
शान्ती,Shanti,,1933
विजेन्द्र,Vijendra,,1932
सन्तोष,Santosh,,1930
दास,Das,,1916
शारदा,Sharada,,1902
वर्ष,Varsh,,1901
सावित्री,Savitri,,1897
कृष्णा,Krishna,,1892
नीतू,Neetu,,1889
भदौरिया,Bhadauriya,,1879
एन,N,,1877
पजाव,Pajav,,1873
रामप्रकाश,Ram prakash,,1856
पूजा,Pooja,,1852
आदि,Aadi,,1848
सक्सैना,Saksaina,,1847
राधेश्याम,Radhe shyam,,1830
डायरेक्टर,Director,,1818
कालीचरन,Kali charan,,1806
अछनेरा,Achanera,,1796
एस,S,,1787
प्रीती,Preeti,,1781
रनवीर,Ranveer,,1776
किरन,Kiran,,1773
चरन,Charan,,1770
एसबीआई,SBI,,1766
परिषद,Parishad,,1757
खॉ,Kho,u,1726
पचौरी,Pachauri,,1719
दुबे,Dube,,1717
नरायन,Narayan,,1715
बेबी,Baby,,1711
भूपेन्द्र,Bhupendra,,1709
सुधा,Sudha,,1701
एण्ड,And,,1694
हरिओम,Hari om,,1677
सोनू,Sonu,,1676
विष्णु,Vishnu,,1669
मधु,Madhu,,1668
गंगा,Ganga,,1660
अधिक्रत,Adhikrat,,1642
ग्रामीण्,Gramin,y,1636
रविन्द्र,Ravindra,,1629
रतन,Ratan,,1618
रामनिवास,Ram nivas,,1616
मंगल,Mangal,,1614
सतेन्द्र,Satendra,,1597
सौरभ,Saurabh,,1597
पिंकी,pinki,,1591
बैक्,Bank,y,1588
मुरारी,Murari,,1584
बच्चू,Bachchu,y,1577
शुक्ला,Shukla,,1572
जय,Jay,,1570
सत्यप्रकाश,Satya prakash,,1559
पंजाब,Punjab,,1550
ककुआ,Kakua,,1537
ए,A,,1531
प्राधिकरण,Pradhikaran,,1526
धर्मवीर,Dharmveer,,1520
मेसर्स,Mesars,y,1519
आर्यवर्त,Aaryavart,,1516
किरावली,Kiravali,,1505
ंसिह,,y,1498
पाठक,Pathak,,1495
राजपूत,Rajput,,1491
आर,R,,1489
कुलश्रेष्ठ,Kulshreshth,,1489
सचिन,Sachin,,1483
सुशीला,Sushila,,1482
इलाहाबाद,Allahabad,y,1481
जी,J,,1475
प्रवीन,Pravin,,1473
रामबाबू,Rambabu,,1473
शैलेन्द्र,Shailendra,,1470
डा,The,,1467
निदेशक,Nideshak,,1449
सुशील,Sushil,,1444
सेन्ट्रल,Central,,1439
नेशनल,National,,1433
रीना,Reena,,1414
बृजेश,Brijesh,y,1413
गिर्राज,Girraj,y,1408
ग्रामिण,Gramin,,1400
नं,,y,1380
महाराज,Maharaj,,1379
अरविन्द,Arvind,,1365
विशाल,Vishal,,1359
सिकरवार,,,1357
आरती,Aarti,,1354
मोहम्मद,Mohammad,,1353
रंजन,Ranjan,,1343
अकोला,Akola,,1340
आ,A,,1338
हेमलता,Hemlata,,1338
कुसुम,Kusum,,1336
केशव,Keshav,,1336
बहादुर,Bahadur,,1330
अर्चना,Archana,,1329
सरिता,Sarita,,1328
राजन,Rajan,,1322
कार्ड,Card,,1311
अवधेश,Avdhesh,,1308
कनौजिया,Kanaujiya,,1308
मोहित,Mohit,,1293
निर्मला,Nirmala,,1292
मनोहर,Manohar,,1290
हाकिम,Hakim,,1281
फ,f,y,1280
मुन्ना,Munna,,1278
राना,Rana,,1268
लता,Lata,,1259
कुरैशी,Qureshi,y,1258
कुलदीप,Kuldeep,,1258
पुष्पेन्द्र,Pushpendra,,1255
मिढाकुर,Midhakur,,1255
चन्द्रभान,Chandrabhan,,1250
ना,Na,,1249
भरत,Bharat,,1245
गोविन्द,Govind,,1233
ऊर्फ,Urf,,1228
रामेश्वर,Rameshvar,y,1227
कौर,Kaur,,1226
सीकरी,Sikri,,1223
बानो,Bano,,1215
गजेन्द्र,Gajendra,,1211
योगेन्द्र,Yogendra,,1211
रघुवीर,Raghuveer,,1204
गायत्री,Gaytri,,1190
विवेक,Vivek,,1185
सर्वेश,Sarvesh,,1181
हरेन्द्र,Harendra,,1179
हुसैन,Husain,,1178
मन्जू,Manju,,1175
सोनी,Soni,,1175
बलवीर,Balveer,,1173
विनीता,Vinita,,1173
दयाल,Dayal,,1172
उमा,Uma,,1167
रामबेटी,Rambeti,,1167
सुन्दर,Sundar,,1163
निशा,Nisha,,1160
गनेश,Ganesh,,1159
चन्द्रवती,Chandravati,,1158
नारायन,Narayan,,1158
हरीश,Harish,,1145
संदीप,Sandeep,,1144
गिरीश,Girish,,1142
घनश्याम,Ghanshyam,,1142
एलडीबी,LDB,,1140
नितिन,Nitin,,1118
मुन्नालाल,Munnalal,,1113
भारती,Bharati,,1111
लि०,Limited,,1111
कपूर,Kapoor,,1105
सुमित,Sumit,,1105
जवाहर,Jawahar,,1101
सोलंकी,Solanki,,1100
खण्डेलवाल,Khandelval,,1099
एस०बी०आई०,SBI,y,1096
ओमवीर,Omveer,,1091
सत्यवीर,Satyaveer,,1090
बिल्डर्स,Builders,,1087
रोहित,Rohit,,1082
आनन्द,Anand,,1079
बबलू,Bablu,,1079
चन्‍द,Chand,,1077
तोमर,Tomar,,1075
अरूण,Arun,,1071
विक्रम,Vikram,,1066
कान्त,Kant,,1065
बरारा,Barara,,1064
एम,M,,1060
आकाश,Aakash,,1057
विपिन,Vipin,,1053
बाबूलाल,Babulal,,1045
विनय,Vinay,,1044
संतोष,Santosh,,1043
अभिषेक,Abhishek,,1042
उर्फ़,Urf,,1042
कविता,Kavita,,1041
भारत,Bharat,,1041
तौमर,Taumar,,1040
सपना,Sapna,,1039
चन्‍द्र,Chandra,,1038
धीरज,Dheeraj,,1038
प्रियंका,Priyanka,,1035
मालती,Malti,,1034
हरीओम,Hari om,,1034
रमन,Raman,,1028
ज्योति,Jyoti,,1019
राजवती,Rajvati,,1017
मलपुरा,Malpura,,1015
वहैसियत,Vahaisiyat,,1007
अंगूरी,Anguri,,1004
रामा,Rama,,996
एच,H,,993
सलीम,Saleem,,987
उस्मानी,Usmani,,986
नवीन,Navin,,984
उदयवीर,Udayveer,,981
चतुर्वेदी,Chaturvedi,,980
अर्जुन,Arjun,,976
देव,Dev,,974
सुधीर,Sudheer,,974
अतुल,Atul,,971
परवीन,Parveen,,971
रामकुमार,Ram kumar,,968
विमल,Vimal,,968
साधना,Sadhana,,968
पाराशर,Parashar,,966
अनु,Anu,,965
भीकम,Bhikam,,961
अजीत,Ajeet,,960
श्यामवीर,Shyam veer,,955
गंगाराम,Ganga ram,,954
बनवारी,Banvari,,952
दीवान,Divan,,950
अधिकृत,Adhikrut,,949
ललिता,Lalita,,948
बबली,Babli,,946
सिटी,City,,935
नवल,Naval,,933
कोमल,Komal,,931
नेत्रपाल,Netrapal,,931
सविता,Savita,,930
कल्पना,Kalpana,,928
ललित,Lalit,,928
वि,V,,928
करन,Karan,,926
रामजीलाल,Ramjilal,,926
लक्ष्मन,Lakshman,,926
गुलाब,Gulab,,914
यशपाल,Yashpal,,914
बृजमोहन,Brij mohan,y,910
पीएनबी,PNB,,907
अतर,Atar,,902
रूप,Roop,,899
सागर,Sagar,,897
विनीत,Vinit,,895
एवं,,y,892
सुषमा,Sushma,,892
भगवती,Bhagvati,,889
गोस्वामी,Goswami,,886
परमार,Parmar,,884
मै०,",",y,880
अंकित,Ankit,,879
शेर,Sher,,879
नेहा,Neha,,870
कप्तान,Kaptan,y,869
हरीशंकर,Hari shankar,,866
प्रशान्त,Prashant,,865
अंजू,Anju,,862
तेज,Tej,,862
सोवरन,Sovran,,859
गुडिया,Gudiya,,858
ज्ञान,Gyan,y,849
कंपनी,Company,,847
प्राइवेट,Private,,845
हीरा,Heera,,845
कन्हैया,Kanhaiya,,843
हेमन्त,Hemant,,842
मुरारीलाल,Murarilal,,840
संजू,Sanju,,839
भावना,Bhavana,,837
निरंजन,Niranjan,,833
अब्दुल,Abdul,,832
मनीषा,Manisha,,832
रामनरेश,Ram naresh,,831
वहै,Vahai,,829
सुरेशचन्द,Sureshchand,,829
शुभम,Shubham,,827
रामगोपाल,Ram gopal,,825
सत्य,Satya,,824
बीना,Beena,,823
साहब,Sahab,,820
वीना,Veena,,811
सिहं,Singh,y,810
अनूप,Anup,,809
निहाल,Nihal,,809
वली,Vali,,809
रमेशचन्द,Rameshchand,,804
स्वयं,Svayam,y,802
राखी,Rakhi,,801
कुण्डौल,Kundaul,y,800
इण्डियन,Indian,,800
राजपाल,Rajpal,,797
कान्ता,Kanta,,791
इस्लाम,Islam,,790
लोकेन्द्र,Lokendra,,790
शकील,Shakeel,,785
महेशचन्द,Maheshchand,,781
सियाराम,Siyaram,,781
छोटेलाल,Chotelal,,780
प्रव०,private,y,779
जीवीए,GVA,,779
तारा,Tara,,777
अरोरा,Arora,,772
सूरज,Suraj,,770
अंसल,Ansal,,766
बबीता,Babita,,766
स्वरूप,Swaroop,,765
अनुज,Anuj,,761
जयप्रकाश,Jay prakash,,758
मित्‍तल,Mittal,,757
लीलावती,Leelavati,,757
सीताराम,Seetaram,,757
लवानियां,Lavaniya,y,752
रीता,Reeta,,751
नाहर,Nahar,,742
यू,U,,742
मुख्तारे,Mukhtare,,740
वन्दना,Vandana,,738
शिवहरे,Shiv hare,,737
कन्हैयालाल,Kanhaiyalal,,733
कैलाश,Kailash,,733
वोटर,Voter,,732
मदन,Madan,,729
एफ,F,,728
पदम,Padam,,728
अखिलेश,Akhilesh,,722
वीरी,Veeri,,719
एस्टेट,Estate,,716
नाथ,Nath,,714
सारस्वत,Sarswat,,714
दिगनेर,Digner,,712
बा,Ba,,711
सुखवीर,Sukhveer,,709
जगवीर,Jagveer,,708
निर्माण,Nirman,,708
उदय,Uday,,707
भूदेवी,Bhudevi,,707
शालिनी,Shalini,,707
पीतम,Peetam,,706
मोनिका,Monika,,706
भारद्वाज,Bharatdvaj,y,705
प्रबन्धक,Prabandhak,,704
कटारा,Katara,,703
रवीन्द्र,Ravindra,,703
कपिल,Kapil,,701
कर्दम,Kardam,,700
रश्मि,Rashmi,,700
रूबी,Rubi,,699
अनुराग,Anurag,,698
सत्यवती,Satyavati,,694
सिडिकेट,,y,693
हिमांशु,Himanshu,,692
शिवराम,Shiv ram,,689
प्रवन्धक,Pravandhak,,688
गीतम,Gitam,,687
रचना,Rachna,,683
डायरेक्‍टर,Director,,682
परीक्षत,Parikshat,,682
अनार,Anar,,676
अरून,Arun,,674
जसवन्त,Jasvant,,673
फूलवती,Fulvati,,673
कौशल,Kaushal,,672
शिशुपाल,Shishupal,,670
प्राईवेट,Private,,668
पाण्डेय,Pandey,,667
ओवरसीज,Overseas,,664
कंचन,Kanchan,,662
रूनकता,Runkata,,661
रंजीत,Ranjit,,656
रजनीश,Rajneesh,,655
खन्ना,Khanna,,654
माता,Mata,,653
चन्द्रपाल,Chandrapal,,651
लक्ष्मण,Lakshman,,650
गणपति,Ganpati,,649
श्रीनिवास,Shree nivas,,649
केदार,Kedar,,646
मनोरमा,Manorama,,645
आलोक,Aalok,,644
सीता,Seeta,,643
हस्ताक्षरी,Hastakshari,,643
प्रेमलता,Premlata,,642
स्वामी,Swami,,642
चन्दन,Chandan,,641
इन्द्रा,Indra,,640
स,S,,640
जादौन,Jadaun,,637
प्रभा,Prabha,,635
लोकेश,Lokesh,,633
रामकिशन,Ram kishan,,630
शीतल,Sheetal,,627
विरमा,Virma,,626
अंजली,Anjali,,624
तरूण,Tarun,,618
भूप,Bhup,,618
दुर्गेश,Durgesh,,614
द्विवेदी,Dvivedi,,613
कैलाशी,Kailashi,,612
उददीन,Uddin,y,607
रामअवतार,Ram avtar,,606
माहेश्वरी,Maheshvari,y,605
रामसेवक,Ram sevak,,605
शशि,Shashi,,605
खुद,Khud,,603
राजेन्‍द्र,Rajendra,,603
शाह,Shah,,603
दिवाकर,Divakar,,602
कन्स्ट्रक्शन,Construction,,601
प्रतीक,Pratik,,601
मुन्‍नी,Munni,,601
श्यामवती,Shyamvati,,598
मछला,Machla,,596
रामरती,Ramrati,,595
शिवम,Shivam,,595
रिंकू,Rinku,,594
अंजना,Anjana,,593
अध्यक्ष,Adhyaksh,,591
रंजना,Ranjana,,590
डेवलपमेंट,Development,,586
नीता,Neeta,,586
प्रवेश,Pravesh,,585
मुनेश,Munesh,,585
लक्ष्‍मी,Lakshmi,,582
बबिता,Babita,,579
रेशमा,Reshma,,579
बिहारी,Bihari,,574
देई,Dei,y,573
कुसमा,Kusma,,570
सौदान,Saudan,,570
नत्थीलाल,Natthilal,,568
नगर,Nagar,,567
रामभरोसी,Ram bharosi,,565
छोटे,Chote,,563
रमाकान्त,Ramakant,,563
हुकम,Hukam,,563
संध्या,Sandhya,,562
महादेवी,Mahadevi,,561
ई,E,,559
वर्षा,Varsha,,559
नगीना,Nagina,,558
साल,Sal,,558
अमन,Aman,,557
जयपाल,Jaypal,,557
पुरूषोत्तम,Purushottam,,557
रामखिलाडी,Ram khiladi,,557
बिजेन्द्र,Bijendra,,554
सरला,Sarla,,554
कालरा,Kalra,,553
श्यामकिशोर,Shyam kishor,,553
रमा,Rama,,552
थान,Than,,548
रोड,Road,,548
वासदेव,Vasdev,,547
कलावती,Kalavati,,543
धाकरे,Dhakre,,542
ठाकुर,Thakur,,541
अंकुर,Ankur,,540
अहीर,Aheer,,539
मीनू,Meenu,,539
इन्‍फ्रा,Infra,,538
सह,Sah,,537
दत्त,Datt,,536
मै,Mai,,536
परिहार,Parihar,,535
राधे,Radhe,,533
वहैमु,Vahaimu,,533
शिवकुमार,Shiv kumar,,532
शिवचरन,Shiv charan,,531
जयवीर,Jayveer,,530
रामदास,Ram das,,530
इन्द्रवती,Indravati,,527
सोनिया,Soniya,,527
नदिमुल,Nadimul,,526
आॅफ,Of,,523
यूपीडा,Yupida,Y,521
ब्रजेश,Brajesh,,520
उत्तम,Uttam,,519
कल्यान,Kalyan,,519
स्वंय,Svanay,y,518
प्रीति,Preeti,,516
ग्राम,Gram,,513
निगम,Nigam,,510
फूल,Fool,,510
मनकैडा,Mankaida,,509
सिल्वर,Silver,,509
ईश्वरी,Ishwari,y,506
रामप्रसाद,Ram prasad,,506
विशम्भर,Vishambhar,,505
मायादेवी,Mayadevi,,501
रोशन,Roshan,,498
खाँ,,y,496
डा०,,y,496
श्रीभगवान,Shree bhagwan,,496
उदयभान,Udaybhan,,495
केशवराम,Keshav ram,,495
जितेन्‍द्र,Jitendra,,495
बली,Bali,,495
शबाना,Shabana,,495
इमरान,Imran,,494
खेरिया,Kheriya,,494
डाय,Die,,494
ओमकार,Omkar,,493
रामश्री,Ramshree,,493
कैला,kaila,,492
सरकार,Sarkar,,492
देशराज,Deshraj,,491
रवी,Ravi,,490
श्रीकृष्ण,Shree krishna,,488
आजाद,Aajad,,486
राघवेन्द्र,Raghvendra,,486
जमुना,Jamuna,,485
हाजी,Haji,,484
कोरई,Korai,y,482
सोन,Son,,481
नत्थी,Natthi,,480
द्वारिका,Dwarika,,478
पालीवाल,Palival,,478
वीरमती,Veermati,,478
शिवानी,Shivani,,478
अलका,Alka,,477
तरून,Tarun,,477
ओरियन्टल,Oriental,,476
तुलसी,Tulsi,,476
खेम,Khem,,474
महाजन,Mahajan,,474
भीमसैन,Bheemsen,y,473
सहायक,Sahayak,,473
प्रिया,Priya,,472
इन्फ्राटेक,Infra tech,,469
रामनाथ,Ram nath,,469
बरोली,Baroli,,468
सोरन,Soran,,467
अचल,Achal,,465
निर्मल,Nirmal,,464
धर्म,Dharm,,463
निवास,Nivas,,461
अरोडा,Aroda,,460
आर्यावत,Aaryavat,,460
सोनवीर,Sonveer,,460
स्नेहलता,Snehalata,,460
हरवीर,Harveer,,460
पुनीत,Punit,,458
शैलेश,Shailesh,,458
झा,Jha,,456
रोहता,Rohta,,456
लीलाधर,Leeladhar,,456
ताराचन्द,Tarachand,,455
देवेन्‍द्र,Devendra,,453
गामिण,Gamin,,450
वेगम,Vegam,,450
शिवशंकर,Shiv shankar,,449
अश्वनी,Ashvani,y,448
अनवर,Anvar,,448
जनक,Janak,,447
रामस्वरूप,Ram swaroop,,446
कलाल,Kalal,,445
मौ०,,y,444
तुलाराम,Tularam,,443
त्रिपाठी,Tripathi,,442
जीत,Jeet,,441
विजयपाल,Vijaypal,,440
कर्ता,karta,,439
फतेहाबाद,Fatehabad,,438
मौ,Mau,,438
शहनाज,Shahnaj,,437
भूदेव,Bhedev,,436
सनी,Sani,y,434
नेकराम,Nekram,,434
प्रहलाद,Prahlad,,434
बनवारीलाल,Banvarilal,,434
सुनहरी,Sunhari,,434
श्रेयस,Shreyas,,432
आर्यव्रत,Aaryvrat,,430
भागीरथ,Bhagirath,,430
कश्यप,Kashyap,,429
अभियन्ता,Abhiyanta,,428
टण्डन,Tandon,,428
भगवानदास,Bhagvandas,,428
हेत,Het,,428
रेशम,Resham,,426
इन्फ्रास्ट्रक्चर,Infrastructure,,425
टीकम,Tikam,,425
बंगाली,Bengali,,425
आयावर्त,Aayavart,y,424
एण्‍ड,And,,424
शाक्य,Shaky,y,423
श्वेता,Shreveta,y,423
इंफ्रास्ट्रक्चर,Infrastructure,,423
जमील,Jameel,,423
मौहर,Mauhar,,423
बदन,Badan,,422
हरेश,Haresh,,421
आरिफ,Aarif,,420
गोला,Gola,,420
फर्म,Firm,,419
रामजी,Ramji,,419
वेद,Ved,,419
बृज,Brij,y,418
अनुसचिव,Anusachiv,,417
नारायण,Narayan,,416
मुन्नीदेवी,Munnidevi,,415
जगन,Jagan,,414
रिंकी,Rinki,,414
श्रीराम,Shree ram,,414
रूचि,Ruchi,,412
शेखर,Shekhar,,412
प्रवेन्द्र,Pravendra,,411
अन्जू,Anju,,409
निधि,Nidhi,,409
ऋषि,Rushi,y,408
प्रेमसिंह,Premsinh,y,408
फौरन,Fauran,,408
सौनी,Sauni,,407
भगत,Bhagat,,406
खांन,,y,405
अनुपम,Anupam,,405
नीरू,Neeru,,405
बन्टी,Bunty,,405
सत्यपाल,Satyapal,,405
चन्द्रा,Chandra,,404
अनुराधा,Anuradha,,401
फौजदार,Faujdar,,401
गौरी,Gauri,,400
निखिल,Nikhil,,400
भूरा,Bhura,,399
मेहरा,Mehra,,399
सुल्तान,Sultan,,399
इरशाद,Irshad,,396
सोमवीर,Somveer,,396
सिंंह,singh,y,395
रामू,Ramu,,394
शमीम,Shameem,,394
राजबहादुर,Raj bahadur,,393
रामकली,Ramkali,,393
भाटिया,Bhatiya,y,392
वेदप्रकाश,Ved prakash,,392
दीनदयाल,Dindayal,,390
सन्दीप,Sandeep,,390
अवनीश,Avnish,,389
नसीम,Nasim,,388
प्रमोटर्स,Promoters,,388
लवानिया,Lavaniya,,388
पुष्पांजली,Pushpanjali,,387
बाबा,Baba,,387
माथुर,Mathur,,387
सिसौदिया,Sisaudiya,,387
भोला,Bhola,,386
उषा,Usha,,385
संरक्षिका,Sanrakshika,,385
शिखा,Shikha,,384
उमाशंकर,Uma shankar,,383
दीपा,Deepa,,383
देवेश,Devesh,,382
करतार,Kartar,,381
छीतर,Chitar,,381
राजरानी,Raj rani,,381
वीरपाल,Veerpal,,381
ऊदल,Udal,,379
पुष्‍पा,Pushpa,,379
जाग्रति,Jagrati,,378
सत्येन्द्र,Satyendra,,377
मोहिनी,Mohini,,376
उम्मेद,Ummed,,373
खजान,Khajan,,373
पार्वती,Parvati,,372
इन्द्रजीत,Indrajeet,,371
बैजन्ती,Baijanti,,371
मयंक,Mayank,,371
माहौर,Mahaur,,371
सोनम,Sonam,,371
बै।क,,y,369
संरक्षक,Sanrakshak,,369
असलम,Aslam,,368
कृष्‍ण,Krishna,,368
गुडडू,Guddu,,368
छोटी,Choti,,368
शोभा,Shobha,,368
कुसुमलता,Kusumlata,,367
सलमा,Salma,,367
जल,Jal,,366
सक्सेना,Saksena,,366
रैनू,Rainu,,364
हीरालाल,Heeralal,,364
बियारा,Biyara,,363
सिंडीकेट,,y,362
समीर,Sameer,,361
राघव,Raghav,,360
रामरतन,Ram ratan,,360
चंचल,Chanchal,,359
सिंघानी,Singhani,,359
इरफान,Irfan,,357
शाहिद,Shahid,,357
प्रेमपाल,Prempal,,356
चन्द्रप्रकाश,Chandra prakash,,355
रवेन्द्र,Ravendra,,355
रामपाल,Rampal,,355
सूरजभान,Surajbhan,,355
इकबाल,Iqbal,,354
हर्ष,Harsh,,354
नितेश,Nitesh,,353
महीपाल,Mahipal,,353
राय,Ray,y,350
रघुनाथ,Raghunath,,350
समीना,Sameena,,350
जुगेन्द्र,Jugendra,,349
दलवीर,Dalveer,,349
अंशुल,Anshul,,348
शरद,Sharad,,348
अभय,Abhay,,346
प्रो,Pro,,346
माधुरी,Madhuri,,346
तेजवीर,Tejveer,,345
हरि,Hari,,345
मानसिंह,Man singh,y,344
गुंजन,Gunjan,,344
ग्याप्रसाद,Gya prasad,,344
मल्होत्रा,Malhotra,,344
सम्पत्ति,Sampati,,344
बिल्डवैल,buildwell,y,343
राजाराम,Raja ram,,343
ईश्वर,,y,342
उ०प्र०,UP,y,342
गौड,Gaud,,342
मीरादेवी,Meeradevi,,342
पप्‍पू,Pappu,,341
बिचपुरी,Bichpuri,,341
राजकिशोर,Raj kishor,,341
जोगेन्द्र,Jogendra,,339
आशियाना,Aashiyana,,338
धीरेन्द्र,Dhirendra,,338
पेन,Pen,,338
लालवानी,Lalvani,,338
सि,Si,,338
फिरोज,Firoj,,337
दुर्गा,Durga,,336
वीरेन्‍द्र,Virendra,,336
यतेन्द्र,Yatendra,,335
र्फ,,y,334
वीर,Veer,,334
भाग,Bhag,,333
बैकं,Bank,y,332
