og_representation,mapping
(Property Description),
Other details:,
पुणे म.न.पा.,
"Block Sector:,",
M.No.Pa.Other Details:,
pune m.no.pa,
;),
landmark : (survey,Survey
"block sector : ,",
"building name : ,",
"flat number : ,",
"road : ,",
"hissa number : ,",
"Wing : ,",
"tower : ,",
"flat no : ,",
"Gat no : ,",
Pimpri-Chinchwad,
M.No.Pa,
पिंपरी-चिंचवड म.न.पा.,
म.न.पा.,
"Road: ,",
"road : ,",
मुंबई मनपा,
Palikee Name,
Palikee,
Other Information,
इतर माहिती,
