og_representation,mapping
Ambejogai,Ambejogai
Amgaon,Amgaon
Anjangaon,Anjangaon
Arjuni-Morgaon,Arjuni-Morgaon
Arni,Arni
Ashta,Ashta
Ashti,Ashti
Atpadi,Atpadi
Aurangabad 1,Aurangabad 1
Aurangabad 2,Aurangabad 2
Aurangabad 3,Aurangabad 3
Aurangabad 4 (Phulambri),Aurangabad 4 (Phulambri)
Aurangabad 5,Aurangabad 5
Aurangabad 6,Aurangabad 6
Babhulgaon,Babhulgaon
Baglan,Baglan
Balapur,Balapur
Barshi-Takali,Barshi-Takali
Beed 1,Beed 1
Beed 2,Beed 2
Bhatkuli,Bhatkuli
Bhudargad,Bhudargad
Chandgad,Chandgad
Chandur-railway,Chandur-railway
Chandurbajar,Chandurbajar
Chandwad,Chandwad
Darva,Darva
Daryapur,Daryapur
Devri,Devri
Dhamangaon,Dhamangaon
Dharur,Dharur
Digraj,Digraj
Dindori,Dindori
Gadhinglaj,Gadhinglaj
Gangapur,Gangapur
Georai,Georai
Ghatanji,Ghatanji
Gondia,Gondia
Goregaon,Goregaon
Hatkaganle,Hatkaganle
Hingana,Hingana
Ichalkaranji,Ichalkaranji
Igatpuri,Igatpuri
Jat,Jat
Jawali (Medha),Jawali (Medha)
Joint S.R. Ichalkaranji,Joint SRO Ichalkaranji
Joint S.R. Nashik 6,Joint SRO Nashik 6
Joint S.R. Nashik 7,Joint SRO Nashik 7
Joint S.R. Niphad2,Joint SRO Niphad2
Joint S.R. Phaltan2,Joint SRO Phaltan2
Joint S.R. Sinnar2,Joint SRO Sinnar2
Joint S.R.Malegaon 3,Joint SRO Malegaon 3
Jt.SRO.Nashik 5,Joint SRO Nashik 5
Kagal,Kagal
Kalamb,Kalamb
Kalameshwar,Kalameshwar
Kalwan,Kalwan
kamathi,kamathi
Kannad,Kannad
Karad 1,Karad 1
Karad 2,Karad 2
Karvir 1,Karvir 1
Karvir 2,Karvir 2
Karvir 3,Karvir 3
Karvir 4,Karvir 4
Katol,Katol
Kavthemahakal,Kavthemahakal
Kej,Kej
Kelapur,Kelapur
Khanapur (Vita),Khanapur (Vita)
Khandala,Khandala
Khatav,Khatav
Koregaon,Koregaon
Kuhi,Kuhi
Lasalgaon,Lasalgaon
Mahagaon,Mahagaon
Majalgaon,Majalgaon
Malegaon 1,Malegaon 1
Malegaon 2,Malegaon 2
Man (Dahiwadi),Man (Dahiwadi)
Maregaon,Maregaon
Mauda,Mauda
Miraj 1,Miraj 1
Miraj 2,Miraj 2
Miraj 3 (Kupwad),Miraj 3 (Kupwad)
Morshi,Morshi
Murgud,Murgud
Murtijapur,Murtijapur
Nagpur 1,Nagpur 1
Nagpur 2,Nagpur 2
Nagpur 3,Nagpur 3
Nagpur 4,Nagpur 4
Nagpur 5,Nagpur 5
Nagpur 6,Nagpur 6
Nagpur 7,Nagpur 7
Nagpur 8,Nagpur 8
Nagpur 9,Nagpur 9
Nagpur-Rural,Nagpur-Rural
Nandgaon,Nandgaon
Nandgaon-Khandeshwar,Nandgaon-Khandeshwar
Narkhed,Narkhed
Nashik 1,Nashik 1
Nashik 2,Nashik 2
Nashik 3,Nashik 3
Nashik 4,Nashik 4
Ner,Ner
Niphad,Niphad
Paithan,Paithan
Palus,Palus
Panhala,Panhala
Parali Vaijanath,Parali Vaijanath
Parshivani,Parshivani
Patan,Patan
Patoda,Patoda
Patur,Patur
Phaltan,Phaltan
Pusad,Pusad
Radhanagari,Radhanagari
Ralegaon,Ralegaon
Ramtek,Ramtek
S.R. Devala,SRO Devala
S.R. Dharani,SRO Dharani
S.R. Gaganbawda,SRO Gaganbawda
S.R. Khultabad,SRO Khultabad
S.R. Mahabaleshwar,SRO Mahabaleshwar
S.R. Peth,SRO Peth
S.R. Sadak Arjuni,SRO Sadak Arjuni
S.R. Surgana,SRO Surgana
S.R. Trimbakeshwar,SRO Trimbakeshwar
S.R. Vadvani,SRO Vadvani
S.R. Zarijamani,SRO Zarijamani
Salekasa,Salekasa
Satara 1,Satara 1
Satara 2,Satara 2
Savner,Savner
Shahuwadi,Shahuwadi
Shirala,Shirala
Shirol,Shirol
Shirur Kasar,Shirur Kasar
Sillod,Sillod
Sinnar,Sinnar
Soygaon,Soygaon
SRO.Kadegaon,SRO Kadegaon
Tasgaon,Tasgaon
Telhara,Telhara
Tivasa,Tivasa
Umarkhed,Umarkhed
Umbrj,Umbrj
Umred,Umred
Vaijapur,Vaijapur
Vani,Vani
Varud,Varud
Wai,Wai
Walwa,Walwa
Yavatmal 1,Yavatmal 1
Yeotmal 2,Yeotmal 2
Yewala,Yewala
